sol,easting,northing,dist_m,tilt,final,straight_line
13,4354494.086,1093299.695,0.0,1.181965113,y,0
14,4354497.517,1093294.73,6.255,1.006714395,y,6.035145897152119
15,4354502.424,1093329.801,36.393,2.391847235,y,35.4126204903898
16,4354528.468,1093338.387,27.431,1.922877922,y,27.42278855328661
20,4354548.64,1093330.59,23.422,1.158302449,y,21.626437362010556
23,4354544.202,1093333.786,5.47,1.514467808,y,5.469027335889228
29,4354546.709,1093331.539,3.942,1.327131298,y,3.3666092735816804
31,4354519.166,1093332.465,33.388,1.599702194,y,27.558561736378692
32,4354511.566,1093304.014,30.607,0.9705630596,y,29.448589117565053
33,4354501.886,1093307.106,12.959,1.590039653,y,10.161833692493508
34,4354501.722,1093313.659,6.555,0.8800044738,y,6.555051868666679
43,4354501.894,1093318.259,4.603,1.1170923,y,4.603214529102892
44,4354501.662,1093318.415,1.448,0.1210479028,y,0.27957110070025126
47,4354530.283,1093308.697,38.426,2.355971431,y,30.225836051595262
48,4354546.553,1093314.164,17.17,1.285067707,y,17.163944448107316
49,4354557.816,1093309.691,12.126,0.1288933592,y,12.118700342241585
52,4354564.594,1093307.12,11.522,0.245592999,y,7.2492292693135205
65,4354569.415,1093302.011,8.498,1.60267525,y,7.024522902390238
66,4354573.466,1093293.855,9.207,1.127651406,y,9.106642465758194
72,4354585.826,1093278.999,19.467,1.52572158,y,19.325380617356206
73,4354589.755,1093269.989,9.833,2.598597613,y,9.829401863620081
84,4354572.28,1093275.519,18.37,1.520498795,y,18.329116863266737
86,4354569.045,1093272.017,4.77,0.6799975822,y,4.767518117724838
91,4354568.374,1093255.418,19.776,1.228062157,y,16.612556756796053
99,4354565.816,1093248.456,16.432,1.209245596,y,7.417061952134082
102,4354530.161,1093218.345,47.574,2.728788842,y,46.668526288647705
103,4354511.439,1093203.102,24.19,0.535208413,y,24.14254197475945
104,4354492.887,1093169.054,38.819,1.597502753,y,38.774257027078605
105,4354483.453,1093144.443,26.57,1.655514454,y,26.35719402759706
107,4354482.512,1093136.715,9.221,3.466778038,y,7.785079639770605
108,4354462.152,1093130.825,21.845,1.000739686,y,21.19485079011382
109,4354428.843,1093091.803,51.633,1.671482961,y,51.30502865170702
110,4354424.255,1093037.237,56.895,0.6836189816,y,54.758543625775516
113,4354418.312,1093002.356,35.748,1.140821745,y,35.38366021207083
116,4354410.67,1092970.249,46.263,4.446483528,y,33.00393329574278
122,4354411.196,1093000.012,30.397,2.365313011,y,29.767647622925647
123,4354423.77,1092934.074,72.798,0.9875881927,y,67.1261895238211
124,4354419.546,1092927.062,8.193,2.626302426,y,8.185983141744854
126,4354434.19,1092909.298,24.704,5.106603635,y,23.021868560310043
127,4354441.988,1092870.189,40.369,4.63715507,y,39.87885009609949
128,4354442.314,1092873.002,2.832,0.5504836012,y,2.83182714880153
129,4354467.38,1092850.236,51.433,1.323334164,y,33.86141036615088
130,4354541.286,1092773.812,125.455,1.151319917,y,106.31427285214542
131,4354559.375,1092671.686,105.793,3.99985711,y,103.71562947297096
134,4354573.279,1092579.398,94.724,2.706484009,y,93.32950315946205
135,4354565.102,1092500.047,104.213,7.273326061,y,79.77120113177536
136,4354559.214,1092466.152,36.407,6.251060506,y,34.40260991559247
137,4354565.203,1092431.417,37.478,4.777505283,y,35.247529644044995
153,4354558.357,1092336.2,99.633,3.850910073,y,95.46279277806819
155,4354532.897,1092300.915,44.48,3.336633933,y,43.5114102850297
157,4354537.045,1092296.026,6.57,1.980516651,y,6.411569620618888
168,4354534.617,1092269.875,31.869,8.405953962,y,26.263472447587453
169,4354489.589,1092292.916,53.25,3.163438495,y,50.580712381227904
170,4354399.401,1092340.214,104.535,8.128146613,y,101.83798970919547
171,4354313.697,1092405.858,111.858,8.326686059,y,107.95513119808696
173,4354278.209,1092409.67,39.204,10.17223481,y,35.692148828446456
175,4354263.98,1092412.611,20.682,19.83306569,y,14.529759873521275
177,4354188.752,1092463.137,93.922,8.550401579,y,90.62079595779926
178,4354124.422,1092481.61,81.808,0.6647872291,y,66.92981868352489
180,4354127.515,1092476.503,10.963,1.977059203,y,5.970602816897049
199,4354068.95,1092505.595,72.704,3.268929112,y,65.39268834461365
200,4353920.666,1092583.7,169.486,4.374206651,y,167.59634745719453
201,4353954.419,1092592.835,41.908,5.616757936,y,34.967316653848286
202,4353981.044,1092626.708,44.825,3.705102703,y,43.08446070231514
203,4354008.453,1092630.286,29.349,3.332143863,y,27.641551421709973
204,4354017.564,1092634.105,16.467,7.377258052,y,9.879022320469884
210,4354001.307,1092657.036,52.347,6.886287781,y,28.10908767661364
237,4354031.782,1092664.566,32.513,4.488701965,y,31.3915040254161
238,4354048.478,1092661.839,17.867,12.30814291,y,16.917238102493297
239,4354051.396,1092667.455,11.661,7.822827647,y,6.328837175926432
