drive_id,sol_start,sol_end,n_segments,n_intermediate,path_m,straight_m,seg_straight_sum_m,excess_m,detour_ratio,wander_ratio,tilt_mean,tilt_max,n_i_rows,n_m_rows,frac_i,flag_zero_distance,flag_short_drive,flag_single_segment,flag_dist_anomaly,flag_impossible
0,13,13,1,0,0.0,0.0,0.0,0.0,,,1.181965113,1.181965113,0,0,0.0,True,True,True,False,False
1,14,14,1,0,6.255,6.035145897152119,6.035145897152119,0.2198541028478811,1.03642896238045,1.0,1.006714395,1.006714395,0,0,0.0,False,False,True,False,False
2,15,15,1,0,36.393,35.4126204903898,35.4126204903898,0.9803795096102021,1.0276844666120164,1.0,2.391847235,2.391847235,0,0,0.0,False,False,True,False,False
3,16,16,1,0,27.431,27.42278855328661,27.42278855328661,0.00821144671339269,1.0002994387933029,1.0,1.922877922,1.922877922,0,0,0.0,False,False,True,False,False
4,20,20,1,0,23.422,21.626437362010556,21.62643736201056,1.7955626379894447,1.0830262797303623,1.0000000000000002,1.158302449,1.158302449,0,0,0.0,False,False,True,False,False
5,23,23,1,0,5.47,5.469027335889229,5.469027335889228,0.0009726641107707934,1.0001778495609974,0.9999999999999999,1.514467808,1.514467808,0,0,0.0,False,False,True,False,False
6,29,29,1,0,3.942,3.3666092735816804,3.3666092735816804,0.5753907264183198,1.1709110501576474,1.0,1.327131298,1.327131298,0,0,0.0,False,True,True,False,False
7,31,31,1,0,33.388,27.558561736378692,27.55856173637869,5.829438263621306,1.2115291182241255,0.9999999999999999,1.599702194,1.599702194,0,0,0.0,False,False,True,False,False
8,32,32,1,0,30.607,29.448589117565053,29.448589117565053,1.1584108824349464,1.039336719250295,1.0,0.9705630596,0.9705630596,0,0,0.0,False,False,True,False,False
9,33,33,1,0,12.959,10.161833692493508,10.161833692493508,2.797166307506492,1.2752619647350403,1.0,1.590039653,1.590039653,0,0,0.0,False,False,True,False,False
10,34,34,1,0,6.555,6.555051868666679,6.555051868666679,-5.1868666679055764e-05,0.9999920872225394,1.0,0.8800044738,0.8800044738,0,0,0.0,False,False,True,False,False
11,43,43,1,0,4.603,4.603214529102892,4.603214529102892,-0.00021452910289188054,0.9999533958060101,1.0,1.1170923,1.1170923,0,0,0.0,False,True,True,False,False
12,44,44,1,0,1.448,0.27957110070025126,0.2795711007002512,1.1684288992997487,5.179362231550918,0.9999999999999998,0.1210479028,0.1210479028,0,0,0.0,False,True,True,False,False
13,47,47,1,0,38.426,30.225836051595262,30.225836051595262,8.20016394840474,1.2712965138303247,1.0,2.355971431,2.355971431,0,0,0.0,False,False,True,False,False
14,48,48,1,0,17.17,17.163944448107312,17.163944448107316,0.006055551892689692,1.000352806542284,1.0000000000000002,1.285067707,1.285067707,0,0,0.0,False,False,True,False,False
15,49,49,1,0,12.126,12.118700342241585,12.118700342241585,0.007299657758414568,1.0006023465843916,1.0,0.1288933592,0.1288933592,0,0,0.0,False,False,True,False,False
16,52,52,1,0,11.522,7.2492292693135205,7.24922926931352,4.27277073068648,1.5894103458381994,0.9999999999999999,0.245592999,0.245592999,0,0,0.0,False,False,True,False,False
17,65,65,1,0,8.498,7.024522902390238,7.024522902390238,1.473477097609761,1.2097618753735404,1.0,1.60267525,1.60267525,0,0,0.0,False,False,True,False,False
18,66,66,1,0,9.207,9.106642465758194,9.106642465758194,0.10035753424180704,1.0110202563259907,1.0,1.127651406,1.127651406,0,0,0.0,False,False,True,False,False
19,72,72,1,0,19.467,19.325380617356206,19.32538061735621,0.1416193826437926,1.0073281548988797,1.0000000000000002,1.52572158,1.52572158,0,0,0.0,False,False,True,False,False
20,73,73,1,0,9.833,9.829401863620081,9.82940186362008,0.0035981363799191257,1.0003660585282648,0.9999999999999998,2.598597613,2.598597613,0,0,0.0,False,False,True,False,False
21,84,84,1,0,18.37,18.329116863266737,18.329116863266737,0.040883136733263825,1.0022305022679623,1.0,1.520498795,1.520498795,0,0,0.0,False,False,True,False,False
22,86,86,1,0,4.77,4.767518117724838,4.767518117724838,0.002481882275161773,1.0005205816137195,1.0,0.6799975822,0.6799975822,0,0,0.0,False,True,True,False,False
23,91,91,1,0,19.776,16.612556756796053,16.612556756796053,3.1634432432039468,1.19042482680517,1.0,1.228062157,1.228062157,0,0,0.0,False,False,True,False,False
24,99,99,1,0,16.432,7.417061952134082,7.417061952134082,9.014938047865916,2.215432486076523,1.0,1.209245596,1.209245596,0,0,0.0,False,False,True,False,False
25,102,102,1,0,47.574,46.668526288647705,46.668526288647705,0.9054737113522933,1.0194022349399225,1.0,2.728788842,2.728788842,0,0,0.0,False,False,True,False,False
26,103,103,1,0,24.19,24.14254197475945,24.14254197475945,0.04745802524055165,1.0019657426831925,1.0,0.535208413,0.535208413,0,0,0.0,False,False,True,False,False
27,104,104,1,0,38.819,38.774257027078605,38.774257027078605,0.04474297292139795,1.0011539350164762,1.0,1.597502753,1.597502753,0,0,0.0,False,False,True,False,False
28,105,105,1,0,26.57,26.357194027597057,26.35719402759706,0.2128059724029434,1.008073923657432,1.0000000000000002,1.655514454,1.655514454,0,0,0.0,False,False,True,False,False
29,107,107,1,0,9.221,7.785079639770605,7.785079639770605,1.435920360229395,1.1844451729040637,1.0,3.466778038,3.466778038,0,0,0.0,False,False,True,False,False
30,108,108,1,0,21.845,21.19485079011382,21.19485079011382,0.6501492098861803,1.0306748660948082,1.0,1.000739686,1.000739686,0,0,0.0,False,False,True,False,False
31,109,109,1,0,51.633,51.30502865170702,51.30502865170702,0.3279713482929836,1.006392577041901,1.0,1.671482961,1.671482961,0,0,0.0,False,False,True,False,False
32,110,110,1,0,56.895,54.758543625775516,54.75854362577552,2.136456374224487,1.0390159458736743,1.0000000000000002,0.6836189816,0.6836189816,0,0,0.0,False,False,True,False,False
33,113,113,1,0,35.748,35.38366021207083,35.38366021207083,0.3643397879291683,1.010296837176977,1.0,1.140821745,1.140821745,0,0,0.0,False,False,True,False,False
34,116,116,1,0,46.263,33.00393329574278,33.00393329574278,13.259066704257215,1.4017420161847047,1.0,4.446483528,4.446483528,0,0,0.0,False,False,True,False,False
35,122,122,1,0,30.397,29.767647622925647,29.767647622925647,0.6293523770743512,1.0211421602756965,1.0,2.365313011,2.365313011,0,0,0.0,False,False,True,False,False
36,123,123,1,0,72.798,67.1261895238211,67.1261895238211,5.671810476178905,1.0844947481216127,1.0,0.9875881927,0.9875881927,0,0,0.0,False,False,True,False,False
37,124,124,1,0,8.193,8.185983141744854,8.185983141744854,0.0070168582551453085,1.000857179661092,1.0,2.626302426,2.626302426,0,0,0.0,False,False,True,False,False
38,126,126,1,0,24.704,23.021868560310043,23.021868560310043,1.6821314396899574,1.0730666772457371,1.0,5.106603635,5.106603635,0,0,0.0,False,False,True,False,False
39,127,127,1,0,40.369,39.87885009609949,39.87885009609949,0.49014990390050883,1.0122909738550472,1.0,4.63715507,4.63715507,0,0,0.0,False,False,True,False,False
40,128,128,1,0,2.832,2.83182714880153,2.83182714880153,0.00017285119846999208,1.0000610387532103,1.0,0.5504836012,0.5504836012,0,0,0.0,False,True,True,False,False
41,129,129,1,0,51.433,33.86141036615088,33.86141036615088,17.571589633849122,1.5189266909985042,1.0,1.323334164,1.323334164,0,0,0.0,False,False,True,False,False
42,130,130,1,0,125.455,106.31427285214542,106.31427285214542,19.140727147854577,1.180039110783123,1.0,1.151319917,1.151319917,0,0,0.0,False,False,True,False,False
43,131,131,1,0,105.793,103.71562947297096,103.71562947297096,2.0773705270290463,1.0200294838645358,1.0,3.99985711,3.99985711,0,0,0.0,False,False,True,False,False
44,134,134,1,0,94.724,93.32950315946205,93.32950315946204,1.394496840537954,1.0149416507463382,0.9999999999999999,2.706484009,2.706484009,0,0,0.0,False,False,True,False,False
